1f44b-1f3fb,waving-hand-light-skin-tone
1f44b-1f3fc,waving-hand-medium-light-skin-tone
1f44b-1f3fd,waving-hand-medium-skin-tone
1f44b-1f3fe,waving-hand-medium-dark-skin-tone
1f44b-1f3ff,waving-hand-dark-skin-tone
1f91a-1f3fb,raised-back-of-hand-light-skin-tone
1f91a-1f3fc,raised-back-of-hand-medium-light-skin-tone
1f91a-1f3fd,raised-back-of-hand-medium-skin-tone
1f91a-1f3fe,raised-back-of-hand-medium-dark-skin-tone
1f91a-1f3ff,raised-back-of-hand-dark-skin-tone
1f590-1f3fb,hand-with-fingers-splayed-light-skin-tone
1f590-1f3fc,hand-with-fingers-splayed-medium-light-skin-tone
1f590-1f3fd,hand-with-fingers-splayed-medium-skin-tone
1f590-1f3fe,hand-with-fingers-splayed-medium-dark-skin-tone
1f590-1f3ff,hand-with-fingers-splayed-dark-skin-tone
270b-1f3fb,raised-hand-light-skin-tone
270b-1f3fc,raised-hand-medium-light-skin-tone
270b-1f3fd,raised-hand-medium-skin-tone
270b-1f3fe,raised-hand-medium-dark-skin-tone
270b-1f3ff,raised-hand-dark-skin-tone
1f596-1f3fb,vulcan-salute-light-skin-tone
1f596-1f3fc,vulcan-salute-medium-light-skin-tone
1f596-1f3fd,vulcan-salute-medium-skin-tone
1f596-1f3fe,vulcan-salute-medium-dark-skin-tone
1f596-1f3ff,vulcan-salute-dark-skin-tone
1f44c-1f3fb,ok-hand-light-skin-tone
1f44c-1f3fc,ok-hand-medium-light-skin-tone
1f44c-1f3fd,ok-hand-medium-skin-tone
1f44c-1f3fe,ok-hand-medium-dark-skin-tone
1f44c-1f3ff,ok-hand-dark-skin-tone
1f90c-1f3fb,pinched-fingers-light-skin-tone
1f90c-1f3fc,pinched-fingers-medium-light-skin-tone
1f90c-1f3fd,pinched-fingers-medium-skin-tone
1f90c-1f3fe,pinched-fingers-medium-dark-skin-tone
1f90c-1f3ff,pinched-fingers-dark-skin-tone
